,band rock punk guitar bands,rap hop hip rapper beats,pop love record voice life,metal black death doom riffs,tracks track sounds electronic work,class
2487,0.00222691041106,0.0,0.0311393409098,0.0,0.0167012188404,folk/country
5217,0.0,0.0145015332088,0.0135657633129,0.00130857497881,0.0239426664866,pop/r&b
5114,0.0165899455295,0.00375316125879,0.00949364323633,0.0,0.0190751989018,electronic
11506,0.0304395572158,0.000884456955076,0.0119797572671,0.0154910669617,0.0,rock
1720,0.0,0.00658630500668,0.0344361380317,0.0,0.00809478192679,pop/r&b
6214,0.0132869850736,0.00099360024374,0.0142193039363,0.0,0.0131884647071,rock
5144,0.0,0.0,0.00974429634673,0.0,0.0287883860915,experimental
8470,0.0,0.0334195479454,0.0,0.0,0.0314491109279,electronic
8218,0.00039425145129,0.000424228249712,0.00890644282925,0.0,0.0410225853998,jazz
6878,0.00393746637535,0.0,0.0248284125041,0.00154860017817,0.0217176437028,rock
12163,0.0135528601078,0.0,0.00690668459428,0.0120665004566,0.0281901867229,global
5568,0.00175980665998,0.0567185120918,0.0154670210709,0.0,0.0,pop/r&b
7470,0.00474012998886,0.0,0.0161973267488,0.0,0.0215111381725,experimental
12114,0.00807993952185,0.0,0.0120099825865,0.0,0.0187239040438,jazz
9648,0.00905871261722,0.0443151046373,0.00652531447039,0.0,0.020854528234,jazz
164,0.00311349576044,0.00211444185093,0.0456161309439,0.0,0.0,pop/r&b
4587,0.0243117150914,0.00523134728807,0.0140093508855,0.0464679110778,0.0109323395527,metal
287,0.01953198151,0.00843153378563,0.014087339204,0.0,0.0204890334158,jazz
109,0.00196234460264,0.0,0.0118910696571,0.000799068477723,0.024784362582,folk/country
8679,0.00116647838639,0.00427929425869,0.0299315278518,0.0,0.0114045070168,rock
14016,0.0,0.0261026150574,0.0168725494194,0.0,0.0093837212047,metal
4578,0.0,0.00379909571296,0.0300893213258,0.0,0.020824609336,pop/r&b
14743,0.0,0.00245231460355,0.0192264112613,0.0,0.0226681277335,jazz
